Timestamp,Person_ID,Activity_State,In_ROI
2026-05-13 12:03:32,1302,Working,True
2026-05-13 12:03:34,1214,Working,True
2026-05-13 12:03:44,1375,Working,True
2026-05-13 12:03:46,1375,Working,True
2026-05-13 12:03:48,1375,Working,True
2026-05-13 12:03:50,1375,Working,True
2026-05-13 12:03:52,1375,Working,True
2026-05-13 12:03:54,1375,Working,True
2026-05-13 12:03:56,1375,Working,True
2026-05-13 12:03:58,1375,Working,True
2026-05-13 12:04:00,1375,Working,True
2026-05-13 12:04:02,1375,Working,True
2026-05-13 12:04:04,1375,Working,True
2026-05-13 12:04:06,1375,Working,True
2026-05-13 12:04:08,1375,Working,True
2026-05-13 12:04:10,1375,Working,True
2026-05-13 12:04:10,1522,Working,True
2026-05-13 12:04:12,1375,Working,True
2026-05-13 12:04:12,1522,Working,True
2026-05-13 12:04:14,1375,Working,True
2026-05-13 12:04:14,1522,Working,True
2026-05-13 12:04:19,1375,Working,True
2026-05-13 12:04:21,1375,Working,True
2026-05-13 12:04:23,1375,Working,True
2026-05-13 12:04:25,1375,Working,True
2026-05-13 12:04:28,1375,Working,True
2026-05-13 12:04:30,1585,Working,True
2026-05-13 12:04:34,1375,Working,True
2026-05-13 12:04:56,1693,Working,True
2026-05-13 12:04:58,1693,Working,True
2026-05-13 12:05:00,1693,Working,True
2026-05-13 12:05:02,1693,Working,True
2026-05-13 12:05:04,1733,Working,True
2026-05-13 12:05:04,1693,Working,True
2026-05-13 12:05:07,1733,Working,True
2026-05-13 12:05:09,1733,Working,True
2026-05-13 12:05:14,1751,Working,True
2026-05-13 12:05:16,1751,Working,True
2026-05-13 12:05:16,1752,Working,True
2026-05-13 12:05:16,1760,Working,True
2026-05-13 12:05:18,1752,Idle,True
2026-05-13 12:05:18,1751,Working,True
2026-05-13 12:05:18,1760,Working,True
2026-05-13 12:05:21,1752,Working,True
2026-05-13 12:05:21,1751,Working,True
2026-05-13 12:05:23,1752,Working,True
2026-05-13 12:05:23,1751,Working,True
2026-05-13 12:05:25,1752,Working,True
2026-05-13 12:05:25,1751,Working,True
2026-05-13 12:05:25,1814,Working,True
2026-05-13 12:05:27,1752,Working,True
2026-05-13 12:05:27,1751,Working,True
2026-05-13 12:05:29,1752,Working,True
2026-05-13 12:05:29,1751,Working,True
2026-05-13 12:05:29,1820,Working,True
2026-05-13 12:05:31,1752,Working,True
2026-05-13 12:05:31,1751,Working,True
2026-05-13 12:05:31,1820,Working,True
2026-05-13 12:05:33,1752,Working,True
2026-05-13 12:05:33,1751,Working,True
2026-05-13 12:05:33,1820,Working,True
2026-05-13 12:05:36,1752,Working,True
2026-05-13 12:05:36,1873,Working,True
2026-05-13 12:05:36,1820,Working,True
2026-05-13 12:05:39,1752,Working,True
2026-05-13 12:05:41,1752,Working,True
2026-05-13 12:05:41,1873,Working,True
2026-05-13 12:05:43,1752,Working,True
2026-05-13 12:05:45,1752,Working,True
2026-05-13 12:05:48,1752,Idle,True
2026-05-13 12:05:50,1752,Idle,True
2026-05-13 12:05:52,1752,Idle,True
2026-05-13 12:05:54,1752,Idle,True
2026-05-13 12:05:56,1752,Working,True
2026-05-13 12:06:40,2260,Working,True
2026-05-13 12:06:49,2280,Working,True
2026-05-13 12:07:12,2385,Working,True
2026-05-13 12:08:01,2667,Working,True
2026-05-13 12:08:02,2667,Working,True
2026-05-13 12:08:04,2667,Working,True
2026-05-13 12:08:07,2667,Working,True
2026-05-13 12:08:09,2667,Working,True
2026-05-13 12:08:11,2667,Working,True
2026-05-13 12:08:13,2667,Working,True
2026-05-13 12:08:15,2667,Working,True
2026-05-13 12:08:17,2667,Working,True
2026-05-13 12:08:19,2667,Working,True
2026-05-13 12:08:23,2667,Working,True
2026-05-13 12:08:23,2782,Working,True
2026-05-13 12:08:25,2667,Working,True
2026-05-13 12:08:27,2667,Working,True
2026-05-13 12:08:29,2667,Working,True
2026-05-13 12:08:31,2667,Working,True
2026-05-13 12:08:33,2667,Working,True
2026-05-13 12:08:35,2667,Working,True
2026-05-13 12:08:37,2667,Working,True
2026-05-13 12:08:39,2940,Working,True
2026-05-13 12:08:41,2940,Working,True
2026-05-13 12:08:43,3010,Working,True
2026-05-13 12:08:43,3017,Working,True
2026-05-13 12:08:45,3042,Working,True
